player,seasons,batting_runs,batting_average,strike_rate,runs_per_match,bowling_wickets,economy,wickets_per_match,cluster_id,cluster_name
DJM Short,1,115.0,16.428571428571427,112.74509803921569,16.428571428571427,1.0,7.666666666666667,0.5,2,Finishers / All-Rounders
DL Chahar,7,80.0,11.428571428571429,131.14754098360655,6.666666666666667,79.0,7.707903780068729,0.9753086419753086,3,Finishers / All-Rounders
DL Vettori,5,121.0,17.285714285714285,102.54237288135593,7.5625,34.0,6.83312101910828,1.0,3,Finishers / All-Rounders
DM Bravo,1,6.0,6.0,120.0,6.0,0.0,0.0,0.0,2,Finishers / All-Rounders
DNT Zoysa,1,11.0,11.0,122.22222222222223,5.5,2.0,8.695652173913043,0.6666666666666666,0,Finishers / All-Rounders
DP Conway,2,924.0,46.2,138.11659192825113,42.0,0.0,0.0,0.0,1,Power Hitters
DP Nannes,4,4.0,4.0,30.76923076923077,2.0,38.0,7.097242380261249,1.3103448275862069,0,Finishers / All-Rounders
DP Vijaykumar,1,1.0,1.0,100.0,1.0,4.0,7.735849056603773,0.4444444444444444,0,Finishers / All-Rounders
DPMD Jayawardene,6,1808.0,28.25,118.79106438896189,23.17948717948718,0.0,0.0,0.0,1,Power Hitters
DR Martyn,1,19.0,9.5,73.07692307692308,19.0,0.0,0.0,0.0,2,Finishers / All-Rounders
DR Sams,2,44.0,4.4,91.66666666666667,3.3846153846153846,15.0,8.143958868894602,0.9375,0,Finishers / All-Rounders
DR Shorey,2,13.0,6.5,65.0,6.5,0.0,0.0,0.0,2,Finishers / All-Rounders
DR Smith,9,2385.0,29.444444444444443,132.27953410981698,27.102272727272727,27.0,8.88689407540395,0.5869565217391305,1,Power Hitters
DS Kulkarni,13,104.0,11.555555555555555,92.03539823008849,5.2,91.0,8.03731343283582,0.9891304347826086,3,Finishers / All-Rounders
DS Lehmann,1,18.0,9.0,94.73684210526316,9.0,0.0,0.0,0.0,2,Finishers / All-Rounders
DT Christian,6,460.0,16.428571428571427,112.74509803921569,11.21951219512195,40.0,7.926247288503254,0.8163265306122449,3,Finishers / All-Rounders
DT Patil,1,13.0,13.0,100.0,6.5,0.0,0.0,0.0,2,Finishers / All-Rounders
DW Steyn,11,167.0,7.590909090909091,102.45398773006134,5.0606060606060606,105.0,6.791411042944786,1.105263157894737,3,Finishers / All-Rounders
Dhruv Jurel,2,347.0,26.692307692307693,146.41350210970464,15.772727272727273,0.0,0.0,0.0,2,Finishers / All-Rounders
E Lewis,4,654.0,27.25,131.06212424849699,25.153846153846153,0.0,0.0,0.0,2,Finishers / All-Rounders
EJG Morgan,7,1406.0,23.049180327868854,119.05165114309906,19.0,0.0,0.0,0.0,2,Finishers / All-Rounders
ER Dwivedi,1,24.0,12.0,160.0,12.0,0.0,0.0,0.0,2,Finishers / All-Rounders
F Behardien,1,14.0,7.0,107.6923076923077,4.666666666666667,0.0,0.0,0.0,2,Finishers / All-Rounders
F du Plessis,11,4571.0,36.568,133.07132459970887,33.1231884057971,0.0,16.0,0.0,1,Power Hitters
FA Allen,2,14.0,7.0,73.6842105263158,4.666666666666667,2.0,8.967032967032967,0.5,0,Finishers / All-Rounders
FH Edwards,1,4.0,4.0,80.0,2.0,6.0,6.4,1.0,0,Finishers / All-Rounders
FY Fazal,2,183.0,20.333333333333332,102.23463687150839,16.636363636363637,1.0,10.0,0.5,2,Finishers / All-Rounders
